s_no,key,num_equality_compares,cumulative_avg
163,passenger,4,4.99
164,passenger,2,4.97
165,disturbed,6,4.98
166,steaming,14,5.03
167,forlornness,4,5.02
168,intensely,8,5.04
169,followed,8,5.06
170,overspread,4,5.05
171,unwholesome,16,5.12
172,everything,2,5.10
173,coachlamps,0,5.07
174,workings,6,5.07
175,labouring,8,5.09
176,passengers,10,5.12
177,plodding,4,5.11
178,cheekbones,4,5.11
179,jackboots,4,5.10
180,anything,2,5.08
181,wrappers,4,5.08
182,companions,2,5.06
183,travellers,6,5.07
184,confidential,6,5.07
185,postinghouse,4,5.06
186,alehouse,2,5.05
187,somebody,8,5.06
188,captains,4,5.06
189,landlord,8,5.07
190,nondescript,6,5.08
191,likeliest,8,5.09
192,november,4,5.09
193,thousand,6,5.09
194,seventyfive,6,5.10
195,lumbering,6,5.10
196,shooters,2,5.09
197,particular,6,5.09
198,armchest,4,5.09
199,blunderbuss,6,5.09
200,horsepistols,4,5.08
201,deposited,2,5.07
202,substratum,10,5.09
203,position,8,5.11
204,suspected,2,5.09
205,passengers,10,5.12
206,passengers,10,5.14
207,suspected,2,5.13
208,suspected,2,5.11
209,everybody,10,5.13
210,coachman,2,5.12
211,conscience,6,5.12
212,testaments,6,5.13
213,coachman,2,5.11
214,ejaculated,10,5.14
215,coachman,2,5.12
216,shooters,2,5.11
217,emphatic,4,5.10
218,negative,6,5.11
219,scramble,6,5.11
220,followed,2,5.10
221,struggled,0,5.07
222,jackboots,4,5.07
223,passengers,12,5.10
224,squashing,2,5.08
225,hardihood,2,5.07
226,darkness,4,5.07
227,instantly,8,5.08
228,highwayman,4,5.07
229,coachdoor,4,5.07
230,passengers,12,5.10
231,coachman,2,5.09
232,listened,12,5.12
233,returned,6,5.12
234,mounting,4,5.12
235,gentlemen,10,5.14
236,adjuration,2,5.12
237,blunderbuss,2,5.11
238,offensive,4,5.11
239,passenger,2,5.09
240,coachstep,4,5.09
241,passengers,12,5.12
242,remained,8,5.13
243,remained,2,5.12
244,coachman,2,5.10
245,coachman,2,5.09
246,listened,2,5.08
247,coachman,2,5.06
248,emphatic,4,5.06
249,contradicting,4,5.06
250,stillness,6,5.06
251,consequent,4,5.06
252,cessation,2,5.04
253,rumbling,12,5.07
254,labouring,2,5.06
255,stillness,2,5.05
256,communicated,6,5.05
257,tremulous,2,5.04
258,agitation,10,5.06
259,passengers,12,5.08
260,expressive,10,5.10
261,quickened,10,5.12
262,expectation,18,5.17
263,furiously,8,5.18
264,suddenly,10,5.20
265,splashing,8,5.21
266,floundering,8,5.22
267,retorted,8,5.23
268,passenger,2,5.22
269,passenger,2,5.21
270,passenger,2,5.20
271,coachman,2,5.18
272,passengers,12,5.21
273,distrustfully,4,5.21
274,lifetime,12,5.23
275,gentleman,4,5.23
276,straight,14,5.26
277,passenger,2,5.25
278,quavering,4,5.24
279,despatch,8,5.25
280,messenger,6,5.25
281,roadassisted,4,5.25
282,politely,2,5.24
283,passengers,12,5.26
284,immediately,12,5.29
285,scrambled,14,5.32
286,soliloquy,8,5.33
287,hoarsely,0,5.31
288,footpace,8,5.32
289,holsters,10,5.33
290,passenger,2,5.32
291,passenger,2,5.31
292,passenger,2,5.30
293,business,12,5.32
294,confidence,12,5.34
295,watchful,6,5.35
296,blunderbuss,4,5.34
297,horseman,6,5.34
298,answered,4,5.34
299,apprehend,2,5.33
300,tellsons,10,5.34
301,tellsons,2,5.33
302,business,12,5.35
303,coachlamp,14,5.38
304,readfirst,14,5.41
305,mamselle,4,5.41
306,recalled,12,5.43
307,hoarsest,6,5.43
308,received,2,5.42
309,passenger,4,5.41
310,coachdoor,2,5.40
311,assisted,4,5.40
312,fellowpassengers,2,5.39
313,expeditiously,2,5.38
314,secreted,4,5.37
315,pretence,8,5.38
316,definite,6,5.38
317,originating,10,5.40
318,lumbered,16,5.43
319,replaced,20,5.48
320,blunderbuss,4,5.47
321,armchest,4,5.47
322,contents,4,5.46
323,supplementary,2,5.45
324,tinderbox,4,5.45
325,furnished,6,5.45
326,completeness,2,5.44
327,coachlamps,6,5.44
328,occasionally,6,5.44
329,tolerable,6,5.44
330,coincidence,12,5.46
331,darkness,6,5.47
332,dismounted,14,5.49
333,meanwhile,0,5.47
334,standing,4,5.47
335,heavilysplashed,6,5.47
336,forelegs,2,5.46
337,messenger,4,5.46
338,glancing,0,5.44
339,recalled,6,5.44
340,recalling,4,5.44
341,wonderful,6,5.44
342,creature,2,5.43
343,constituted,12,5.45
344,profound,4,5.44
345,consideration,4,5.44
346,clustered,6,5.44
347,encloses,4,5.44
348,encloses,2,5.43
349,hundreds,4,5.42
350,thousands,4,5.42
351,imaginings,4,5.42
352,something,0,5.40
353,awfulness,2,5.39
354,referable,4,5.39
355,unfathomable,0,5.37
356,momentary,10,5.38
357,glimpses,0,5.37
358,treasure,8,5.38
359,submerged,2,5.37
360,appointed,2,5.36
361,appointed,2,5.35
362,ignorance,4,5.35
363,neighbour,6,5.35
364,inexorable,10,5.36
365,consolidation,6,5.36
366,perpetuation,14,5.39
367,individuality,6,5.39
368,burialplaces,6,5.39
369,inscrutable,10,5.40
370,inhabitants,0,5.39
371,innermost,0,5.37
372,personality,4,5.37
373,alienated,6,5.37
374,inheritance,2,5.36
375,messenger,4,5.36
376,horseback,4,5.35
377,possessions,2,5.34
378,minister,4,5.34
379,merchant,6,5.34
380,passengers,2,5.33
381,lumbering,8,5.34
382,mysteries,6,5.34
383,complete,2,5.33
384,messenger,4,5.33
385,stopping,4,5.33
386,alehouses,12,5.34
387,evincing,2,5.34
388,tendency,6,5.34
389,assorted,4,5.33
390,decoration,2,5.33
391,togetheras,4,5.32
392,something,4,5.32
393,sinister,8,5.33
394,expression,4,5.32
395,cockedhat,6,5.32
396,threecornered,4,5.32
397,spittoon,2,5.31
398,descended,4,5.31
399,messenger,4,5.31
400,tradesman,4,5.30
401,business,4,5.30
402,recalled,6,5.30
403,drinking,6,5.30
404,perplexed,0,5.29
405,raggedly,2,5.28
406,standing,2,5.27
407,jaggedly,2,5.27
408,strongly,6,5.27
409,leapfrog,2,5.26
410,declined,12,5.28
411,dangerous,0,5.26
412,watchman,2,5.25
413,tellsons,10,5.27
414,authorities,6,5.27
415,uneasiness,4,5.27
416,numerous,4,5.26
417,mailcoach,8,5.27
418,lumbered,6,5.27
419,fellowinscrutables,0,5.26
420,likewise,6,5.26
421,revealed,6,5.26
422,themselves,8,5.27
423,wandering,4,5.26
424,thoughts,0,5.25
425,suggested,4,5.25
426,tellsons,10,5.26
427,passenger,6,5.26
428,leathern,10,5.27
429,pounding,6,5.28
430,passenger,6,5.28
431,whenever,6,5.28
432,joltnodded,8,5.28
433,halfshut,8,5.29
434,coachwindows,6,5.29
435,coachlamp,8,5.30
436,gleaming,2,5.29
437,opposite,2,5.28
438,passenger,6,5.29
439,business,4,5.28
440,honoured,2,5.28
441,tellsons,10,5.29
442,connection,2,5.28
443,strongrooms,2,5.27
444,underground,10,5.28
445,tellsons,10,5.29
446,valuable,4,5.29
447,passenger,6,5.29
448,feeblyburning,12,5.31
449,confused,14,5.33
450,presence,6,5.33
451,impression,6,5.33
452,multitude,2,5.32
453,themselves,2,5.31
454,indicate,2,5.31
455,differed,0,5.29
456,principally,6,5.30
457,passions,8,5.30
458,expressed,6,5.30
459,ghastliness,6,5.31
460,contempt,6,5.31
461,defiance,4,5.30
462,stubbornness,6,5.31
463,submission,6,5.31
464,lamentation,4,5.30
465,succeeded,0,5.29
466,varieties,8,5.30
467,cadaverous,4,5.30
468,emaciated,8,5.30
469,prematurely,12,5.32
470,passenger,6,5.32
471,inquired,0,5.31
472,eighteen,4,5.30
473,abandoned,8,5.31
474,recalled,6,5.31
475,question,2,5.30
476,contradictory,6,5.30
477,sometimes,10,5.31
478,sometimes,2,5.31
479,sometimes,2,5.30
480,bewildered,2,5.29
481,understand,4,5.29
482,imaginary,12,5.30
483,discourse,2,5.30
484,passenger,6,5.30
485,wretched,2,5.29
486,creature,4,5.29
487,suddenly,8,5.30
488,passenger,6,5.30
489,roadside,8,5.30
490,retreating,6,5.30
491,bankinghouse,14,5.32
492,business,4,5.32
493,returned,4,5.32
494,eighteen,2,5.31
495,digdigdiguntil,6,5.31
496,impatient,6,5.31
497,movement,12,5.33
498,passengers,2,5.32
499,admonish,8,5.32
500,securely,6,5.33
501,leathern,4,5.32
502,speculate,4,5.32
503,slumbering,8,5.33
504,eighteen,2,5.32
505,abandoned,2,5.31
506,spokendistinctly,2,5.31
507,lifewhen,2,5.30
508,passenger,6,5.30
509,consciousness,8,5.31
510,daylight,10,5.32
511,ploughed,8,5.32
512,coppicewood,4,5.32
513,remained,10,5.33
514,beautiful,2,5.32
515,eighteen,2,5.31
516,passenger,6,5.32
517,gracious,10,5.32
518,eighteen,2,5.32
519,preparation,4,5.32
520,successfully,12,5.33
521,forenoon,8,5.33
522,coachdoor,4,5.33
523,flourish,8,5.34
524,ceremony,14,5.35
525,achievement,14,5.37
526,congratulate,6,5.37
527,adventurous,6,5.37
528,traveller,4,5.37
529,adventurous,2,5.36
530,traveller,2,5.36
531,congratulated,4,5.35
532,respective,8,5.36
533,roadside,2,5.35
534,destinations,14,5.37
535,disagreeable,2,5.36
536,obscurity,6,5.36
537,dogkennel,4,5.36
538,passenger,6,5.36
539,flapping,6,5.36
540,tomorrow,4,5.36
541,tolerable,8,5.37
542,afternoon,2,5.36
543,breakfast,8,5.36
544,gentlemans,2,5.36
545,gentlemans,2,5.35
546,bedchamber,8,5.36
547,assigned,10,5.37
548,passenger,6,5.37
549,passengers,4,5.36
550,interest,8,5.37
551,establishment,6,5.37
552,although,2,5.36
553,varieties,4,5.36
554,consequently,12,5.37
555,landlady,2,5.37
556,loitering,6,5.37
557,accident,4,5.37
558,coffeeroom,2,5.36
559,gentleman,8,5.36
560,formally,4,5.36
561,breakfast,2,5.36
562,coffeeroom,2,5.35
563,occupant,10,5.36
564,forenoon,4,5.36
565,gentleman,8,5.36
566,breakfasttable,6,5.36
567,portrait,8,5.37
568,methodical,4,5.36
569,sonorous,10,5.37
570,waistcoat,2,5.37
571,longevity,4,5.36
572,evanescence,12,5.38
573,stockings,4,5.37
574,presumed,10,5.38
575,filaments,4,5.38
576,fineness,4,5.38
577,accordance,4,5.37
578,stockings,2,5.37
579,neighbouring,8,5.37
580,sunlight,8,5.38
581,habitually,8,5.38
582,suppressed,14,5.40
583,composed,6,5.40
584,reserved,2,5.39
585,expression,6,5.39
586,tellsons,14,5.41
587,confidential,10,5.42
588,bachelor,10,5.42
589,tellsons,14,5.44
590,principally,2,5.43
591,occupied,4,5.43
592,secondhand,6,5.43
593,secondhand,2,5.42
594,completing,6,5.43
595,resemblance,8,5.43
596,portrait,2,5.42
597,breakfast,2,5.42
598,accommodation,6,5.42
599,prepared,6,5.42
600,gentleman,8,5.42
601,tellsons,14,5.44
602,tellsons,14,5.45
603,oftentimes,10,5.46
604,entertain,4,5.46
605,gentlemen,8,5.46
606,travelling,10,5.47
607,backwards,8,5.47
608,forwards,12,5.49
609,travelling,2,5.48
610,companys,4,5.48
611,travelling,2,5.47
612,yourself,2,5.47
613,flourishing,8,5.47
614,rounding,4,5.47
615,backward,6,5.47
616,comfortable,6,5.47
617,attitude,8,5.47
618,surveying,16,5.49
619,observatory,12,5.50
620,watchtower,10,5.51
621,according,10,5.52
622,immemorial,4,5.51
623,finished,6,5.51
624,breakfast,2,5.51
625,tumbling,6,5.51
626,destruction,2,5.50
627,thundered,8,5.51
628,thundered,2,5.50
629,piscatory,4,5.50
630,supposed,4,5.50
631,quantity,16,5.51
632,strolling,6,5.51
633,particularly,10,5.52
634,tradesmen,6,5.52
635,business,10,5.53
636,whatever,10,5.54
637,sometimes,4,5.53
638,unaccountably,6,5.53
639,realised,8,5.54
640,fortunes,12,5.55
641,remarkable,18,5.57
642,neighbourhood,4,5.57
643,lamplighter,4,5.56
644,declined,4,5.56
645,afternoon,4,5.56
646,intervals,12,5.57
647,thoughts,4,5.57
648,coffeeroom,2,5.56
649,awaiting,10,5.57
650,breakfast,2,5.56
651,otherwise,6,5.56
652,tendency,8,5.57
653,glassful,4,5.56
654,complete,2,5.56
655,appearance,4,5.56
656,satisfaction,4,5.55
657,gentleman,8,5.56
658,complexion,8,5.56
659,rattling,4,5.56
660,untouched,10,5.57
661,mamselle,8,5.57
662,announce,10,5.58
663,gentleman,8,5.58
664,tellsons,14,5.59
665,refreshment,4,5.59
666,required,8,5.59
667,extremely,4,5.59
668,gentleman,8,5.59
669,tellsons,14,5.61
670,immediately,12,5.62
671,pleasure,4,5.61
672,convenience,6,5.61
673,gentleman,8,5.62
674,tellsons,14,5.63
675,desperation,4,5.63
676,manettes,10,5.63
677,apartment,20,5.66
678,furnished,4,5.65
679,funereal,6,5.65
680,horsehair,4,5.65
681,gloomily,8,5.65
682,reflected,8,5.66
683,mahogany,12,5.67
684,expected,4,5.67
685,obscurity,2,5.66
686,difficult,12,5.67
687,penetrate,4,5.67
688,wellworn,10,5.67
689,supposed,4,5.67
690,adjacent,4,5.67
691,standing,4,5.67
692,seventeen,10,5.67
693,ridingcloak,10,5.68
694,travelling,4,5.68
695,quantity,2,5.67
696,inquiring,8,5.67
697,forehead,10,5.68
698,singular,10,5.69
699,capacity,4,5.68
700,remembering,10,5.69
701,knitting,1,5.68
702,expression,4,5.68
703,perplexity,0,5.67
704,attention,6,5.67
705,included,8,5.68
706,expressionsas,4,5.67
707,likeness,4,5.67
708,likeness,2,5.67
709,pierglass,4,5.66
710,hospital,4,5.66
711,procession,2,5.66
712,headless,0,5.65
713,cripples,10,5.65
714,offering,0,5.65
715,divinities,2,5.64
716,feminine,2,5.64
717,genderand,10,5.64
718,pleasant,6,5.64
719,received,2,5.64
720,yesterday,6,5.64
721,informing,8,5.64
722,intelligenceor,0,5.63
723,discovery,2,5.63
724,material,4,5.63
725,respecting,10,5.63
726,property,0,5.63
727,troubled,0,5.62
728,hospital,2,5.61
729,procession,2,5.61
730,rendered,0,5.60
731,necessary,10,5.61
732,communicate,4,5.60
733,gentleman,2,5.60
734,despatched,8,5.60
735,prepared,6,5.60
736,curtseyed,2,5.60
737,curtseys,2,5.59
738,considered,6,5.59
739,necessary,2,5.59
740,permitted,6,5.59
741,gentlemans,2,5.58
742,protection,4,5.58
743,gentleman,2,5.58
744,messenger,2,5.57
745,entrusted,8,5.58
746,gratefully,0,5.57
747,gentleman,2,5.56
748,business,6,5.56
749,surprising,8,5.57
750,naturally,4,5.57
751,interest,10,5.57
752,naturally,2,5.57
753,settling,2,5.56
754,difficult,6,5.56
755,indecision,6,5.56
756,forehead,10,5.57
757,singular,8,5.57
758,expressionbut,10,5.58
759,characteristic,0,5.57
760,singularand,4,5.57
761,involuntary,6,5.57
762,stranger,8,5.57
763,extended,6,5.57
764,outwards,0,5.57
765,argumentative,8,5.57
766,eyebrows,0,5.56
767,feminine,2,5.56
768,delicate,12,5.57
769,possible,4,5.56
770,expression,4,5.56
771,deepened,2,5.56
772,thoughtfully,2,5.55
773,hitherto,12,5.56
774,remained,4,5.56
775,standing,4,5.56
776,business,6,5.56
777,business,6,5.56
778,reception,8,5.56
779,speaking,12,5.57
780,machinetruly,2,5.56
781,customers,4,5.56
782,wilfully,8,5.57
783,repeated,2,5.56
784,customers,2,5.56
785,business,6,5.56
786,connection,4,5.55
787,customers,2,5.55
788,gentleman,2,5.55
789,scientific,2,5.54
790,gentleman,2,5.54
791,acquirementsa,14,5.55
792,beauvais,6,5.55
793,beauvais,2,5.54
794,monsieur,4,5.54
795,gentleman,2,5.54
796,beauvais,2,5.53
797,monsieur,2,5.53
798,gentleman,2,5.52
799,relations,10,5.53
800,business,6,5.53
801,relations,2,5.53
802,confidential,8,5.53
803,marriedan,6,5.53
804,trustees,2,5.52
805,gentlemen,2,5.52
806,families,2,5.52
807,entirely,6,5.52
808,tellsons,2,5.51
809,customers,2,5.51
810,business,6,5.51
811,relations,2,5.50
812,friendship,10,5.51
813,particular,2,5.51
814,interest,10,5.51
815,sentiment,2,5.51
816,business,6,5.51
817,customers,2,5.50
818,business,6,5.50
819,feelings,14,5.51
820,curiously,6,5.51
821,roughened,2,5.51
822,forehead,10,5.52
823,surviving,4,5.51
824,hesitating,4,5.51
825,confidingly,2,5.51
826,advanced,8,5.51
827,ceremony,12,5.52
828,conducted,4,5.52
829,straightway,8,5.52
830,chairback,2,5.52
831,feelings,2,5.51
832,relations,2,5.51
833,fellowcreatures,2,5.50
834,business,6,5.50
835,relations,2,5.50
836,tellsons,2,5.50
837,business,6,5.50
838,tellsons,2,5.49
839,feelings,2,5.49
840,pecuniary,2,5.48
841,description,4,5.48
842,employment,6,5.48
843,flattened,8,5.49
844,unnecessary,6,5.49
845,attitude,8,5.49
846,remarked,6,5.49
847,regretted,2,5.49
848,difference,0,5.48
849,frightened,8,5.48
850,soothing,6,5.48
851,bringing,6,5.48
852,supplicatory,2,5.48
853,agitationa,8,5.48
854,business,6,5.48
855,discomposed,4,5.48
856,wandered,8,5.48
857,monsieur,2,5.48
858,suddenly,2,5.48
859,silently,8,5.48
860,disappeared,2,5.47
861,spirited,6,5.48
862,difficult,6,5.48
863,dreadful,4,5.47
864,compatriot,10,5.48
865,exercise,2,5.48
866,privilege,4,5.47
867,instance,2,5.47
868,privilege,2,5.47
869,consignment,2,5.46
870,oblivion,4,5.46
871,implored,4,5.46
872,vainthen,8,5.46
873,unfortunate,10,5.47
874,gentleman,2,5.46
875,beauvais,2,5.46
876,anything,4,5.46
877,uncertainty,6,5.46
878,collectedly,10,5.46
879,collected,2,5.46
880,satisfied,8,5.46
881,business,6,5.46
882,businessbusiness,2,5.46
883,suffered,4,5.46
884,intensely,2,5.45
885,daughter,16,5.46
886,daughter,2,5.46
887,aamatter,6,5.46
888,businessdont,2,5.46
889,distressed,6,5.46
890,suffered,2,5.45
891,intensely,2,5.45
892,determination,4,5.45
893,inheritance,2,5.44
894,compassionate,4,5.44
895,business,6,5.44
896,transact,10,5.45
897,business,6,5.45
898,confused,10,5.45
899,clearheaded,0,5.45
900,instance,2,5.44
901,ninepence,4,5.44
902,shillings,6,5.44
903,encouraging,4,5.44
904,directly,8,5.44
905,answering,0,5.44
906,communicated,2,5.43
907,reassurance,4,5.43
908,business,6,5.43
909,business,6,5.43
910,business,6,5.44
911,brokenhearted,0,5.43
912,slackened,4,5.43
913,unavailing,12,5.43
914,blooming,2,5.43
915,beautiful,4,5.43
916,uncertainty,4,5.43
917,lingering,4,5.43
918,admiring,4,5.42
919,pictured,4,5.42
920,possession,2,5.42
921,discovery,2,5.42
922,property,2,5.41
923,expression,4,5.41
924,forehead,10,5.42
925,particularly,10,5.42
926,attracted,2,5.42
927,immovable,0,5.41
928,deepened,2,5.41
929,beenbeen,4,5.41
930,probable,4,5.40
931,possible,2,5.40
932,identify,4,5.40
933,distinct,4,5.40
934,awestricken,6,5.40
935,ghostnot,12,5.41
936,gentleman,2,5.40
937,repeated,4,5.40
938,wholesome,4,5.40
939,enforcing,6,5.40
940,attention,6,5.40
941,forgotten,6,5.40
942,concealed,4,5.40
943,overlooked,2,5.40
944,designedly,2,5.39
945,prisoner,12,5.40
946,inquiries,6,5.40
947,dangerous,4,5.40
948,anywhere,4,5.40
949,englishman,10,5.40
950,tellsons,2,5.40
951,important,4,5.40
952,referring,6,5.40
953,altogether,4,5.40
954,credentials,10,5.40
955,memoranda,8,5.40
956,comprehended,4,5.40
957,recalled,4,5.40
958,anything,4,5.40
959,perfectly,8,5.40
960,insensible,6,5.40
961,expression,4,5.40
962,forehead,12,5.41
963,therefore,2,5.40
964,assistance,14,5.41
965,wildlooking,2,5.41
966,agitation,10,5.41
967,observed,2,5.41
968,extraordinary,2,5.41
969,tightfitting,8,5.41
970,wonderful,6,5.41
971,grenadier,0,5.40
972,servants,8,5.41
973,question,2,5.40
974,detachment,6,5.40
975,breathless,6,5.41
976,reflection,12,5.41
977,simultaneously,12,5.42
978,addressing,4,5.42
979,servants,2,5.41
980,standing,4,5.41
981,smellingsalts,2,5.41
982,immediate,2,5.41
983,dispersal,2,5.40
984,restoratives,10,5.41
985,gentleness,6,5.41
986,precious,2,5.40
987,spreading,2,5.40
988,shoulders,2,5.40
989,indignantly,0,5.39
990,frightening,14,5.40
991,exceedingly,4,5.40
992,disconcerted,6,5.40
993,question,2,5.40
994,distance,2,5.39
995,sympathy,6,5.39
996,humility,6,5.39
997,banished,0,5.39
998,servants,2,5.38
999,mysterious,4,5.38
1000,something,4,5.38
1001,mentioned,0,5.38
1002,recovered,4,5.38
1003,gradations,4,5.37
1004,drooping,2,5.37
1005,shoulder,4,5.37
1006,sympathy,2,5.37
1007,humility,2,5.36
1008,accompany,8,5.37
1009,intended,6,5.37
1010,providence,4,5.36
1011,question,2,5.36
1012,withdrew,8,5.36
1013,consider,4,5.36
1014,wineshop,2,5.36
1015,accident,4,5.36
1016,happened,8,5.36
1017,wineshop,2,5.36
1018,shattered,6,5.36
1019,walnutshell,10,5.36
1020,suspended,2,5.36
1021,business,6,5.36
1022,idleness,4,5.36
1023,irregular,8,5.36
1024,pointing,8,5.36
1025,designed,2,5.36
1026,expressly,6,5.36
1027,creatures,6,5.36
1028,approached,0,5.36
1029,surrounded,6,5.36
1030,jostling,2,5.35
1031,according,6,5.35
1032,shoulders,2,5.35
1033,mutilated,10,5.36
1034,earthenware,6,5.36
1035,handkerchiefs,4,5.35
1036,squeezed,12,5.36
1037,embankments,4,5.36
1038,directed,2,5.36
1039,lookerson,10,5.36
1040,directions,10,5.37
1041,themselves,14,5.37
1042,champing,4,5.37
1043,winerotted,4,5.37
1044,fragments,6,5.37
1045,drainage,8,5.37
1046,scavenger,2,5.37
1047,acquainted,8,5.37
1048,believed,2,5.37
1049,miraculous,2,5.37
1050,presence,2,5.36
1051,laughter,2,5.36
1052,voicesvoices,6,5.36
1053,childrenresounded,10,5.37
1054,roughness,4,5.36
1055,playfulness,8,5.37
1056,companionship,10,5.37
1057,observable,8,5.37
1058,inclination,4,5.37
1059,especially,14,5.38
1060,lighterhearted,6,5.38
1061,frolicsome,6,5.38
1062,embraces,14,5.39
1063,drinking,12,5.40
1064,together,2,5.39
1065,abundant,10,5.40
1066,gridironpattern,8,5.40
1067,demonstrations,10,5.40
1068,suddenly,2,5.40
1069,sticking,6,5.40
1070,firewood,6,5.40
1071,doorstep,10,5.41
1072,returned,4,5.40
1073,cadaverous,8,5.41
1074,gathered,2,5.40
1075,appeared,4,5.40
1076,sunshine,8,5.41
1077,forehead,12,5.41
1078,acquired,6,5.41
1079,tigerish,6,5.41
1080,besmirched,12,5.42
1081,nightcap,4,5.42
1082,scrawled,4,5.42
1083,wineleesblood,6,5.42
1084,streetstones,10,5.42
1085,momentary,10,5.42
1086,countenance,10,5.43
1087,darkness,6,5.43
1088,heavycold,4,5.43
1089,sickness,4,5.43
1090,ignorance,6,5.43
1091,presencenobles,8,5.43
1092,especially,2,5.43
1093,undergone,4,5.43
1094,terrible,6,5.43
1095,grinding,8,5.43
1096,regrinding,8,5.43
1097,certainly,2,5.43
1098,fabulous,4,5.43
1099,shivered,6,5.43
1100,fluttered,4,5.43
1101,children,2,5.42
1102,ploughed,6,5.42
1103,prevalent,8,5.43
1104,everywhere,2,5.42
1105,wretched,12,5.43
1106,clothing,4,5.43
1107,repeated,6,5.43
1108,fragment,4,5.43
1109,firewood,2,5.42
1110,smokeless,2,5.42
1111,chimneys,6,5.42
1112,anything,4,5.42
1113,inscription,4,5.42
1114,sausageshop,12,5.42
1115,preparation,4,5.42
1116,roasting,10,5.43
1117,chestnuts,10,5.43
1118,cylinder,6,5.43
1119,farthing,8,5.43
1120,porringer,4,5.43
1121,reluctant,10,5.44
1122,diverging,0,5.43
1123,nightcaps,12,5.44
1124,smelling,4,5.44
